Date,Open,High,Low,Close,Adj Close,Volume
2020-08-11,0.125496,0.137770,0.124239,0.130634,0.130634,40783
2020-08-12,0.130674,0.162275,0.128384,0.138122,0.138122,65517
2020-08-13,0.138128,0.138128,0.118348,0.127606,0.127606,41988
2020-08-14,0.127084,0.201024,0.121670,0.201024,0.201024,104705
2020-08-15,0.201097,0.202423,0.138915,0.162744,0.162744,50419
2020-08-16,0.163374,0.201074,0.139444,0.196316,0.196316,57339
2020-08-17,0.196316,0.228478,0.154899,0.218131,0.218131,105653
2020-08-18,0.220166,0.313713,0.217277,0.250788,0.250788,128324
2020-08-19,0.250659,0.299780,0.222255,0.253025,0.253025,63229
2020-08-20,0.253025,0.293909,0.237992,0.268824,0.268824,56629
2020-08-21,0.268081,0.316266,0.266786,0.291120,0.291120,88220
2020-08-22,0.295889,0.297243,0.267643,0.287222,0.287222,43147
2020-08-23,0.288248,0.296962,0.256455,0.259670,0.259670,53466
2020-08-24,0.259592,0.274124,0.245234,0.256249,0.256249,61154
2020-08-25,0.255699,0.257390,0.199215,0.237235,0.237235,65791
2020-08-26,0.236942,0.282191,0.204181,0.226114,0.226114,43010
2020-08-27,0.225926,0.283543,0.224021,0.255959,0.255959,51619
2020-08-28,0.256194,0.297741,0.240268,0.278890,0.278890,47073
2020-08-29,0.278781,0.305441,0.253365,0.270433,0.270433,44761
2020-08-30,0.269816,0.302048,0.268034,0.285196,0.285196,54292
2020-08-31,0.285271,0.316882,0.277482,0.281814,0.281814,75251
2020-09-01,0.281722,0.311118,0.275503,0.288933,0.288933,72414
2020-09-02,0.288945,0.314289,0.250021,0.252189,0.252189,66759
2020-09-03,0.252083,0.295641,0.243171,0.247463,0.247463,103716
2020-09-04,0.250554,0.253007,0.185643,0.213458,0.213458,77235
2020-09-05,0.213421,0.229822,0.180528,0.215829,0.215829,77967
2020-09-06,0.216349,0.218211,0.173829,0.201781,0.201781,66139
2020-09-07,0.201539,0.206048,0.181287,0.188281,0.188281,66981
2020-09-08,0.188347,0.193293,0.175598,0.179111,0.179111,75556
2020-09-09,0.179578,0.196272,0.177000,0.195198,0.195198,31861
2020-09-10,0.195198,0.215412,0.187777,0.194706,0.194706,50619
2020-09-11,0.194391,0.197125,0.180013,0.187714,0.187714,78176
2020-09-12,0.187987,0.192868,0.176143,0.182892,0.182892,66737
2020-09-13,0.182892,0.185471,0.140198,0.143976,0.143976,103602
2020-09-14,0.143150,0.145480,0.125857,0.130773,0.130773,106113
2020-09-15,0.130773,0.143647,0.128023,0.141561,0.141561,95233
2020-09-16,0.141555,0.149408,0.134089,0.145338,0.145338,102148
2020-09-17,0.145338,0.171352,0.145031,0.164182,0.164182,224476
2020-09-18,0.164182,0.204273,0.159507,0.181490,0.181490,396253
2020-09-19,0.181514,0.198543,0.154639,0.181751,0.181751,63688
2020-09-20,0.181451,0.198870,0.172445,0.179018,0.179018,83799
2020-09-21,0.179018,0.180265,0.144989,0.145569,0.145569,112117
2020-09-22,0.145731,0.147305,0.137433,0.138025,0.138025,43168
2020-09-23,0.135542,0.148881,0.135231,0.141171,0.141171,62967
2020-09-24,0.141171,0.145108,0.127114,0.139567,0.139567,74129
2020-09-25,0.139567,0.139691,0.122737,0.133987,0.133987,112002
2020-09-26,0.133987,0.140045,0.124713,0.134377,0.134377,80550
2020-09-27,0.134827,0.136966,0.124551,0.129535,0.129535,116070
2020-09-28,0.130126,0.131660,0.093511,0.126744,0.126744,188988
2020-09-29,0.126840,0.137160,0.119879,0.126741,0.126741,109812
2020-09-30,0.126730,0.129304,0.120271,0.123904,0.123904,31269
2020-10-01,0.123899,0.128405,0.114757,0.116028,0.116028,46288
2020-10-02,0.116028,0.123987,0.113296,0.114721,0.114721,46808
2020-10-03,0.115643,0.117304,0.114198,0.116636,0.116636,26433
2020-10-04,0.115369,0.119493,0.114946,0.116295,0.116295,44188
2020-10-05,0.116307,0.125867,0.115794,0.120187,0.120187,66703
2020-10-06,0.120187,0.146502,0.116122,0.124864,0.124864,74002
2020-10-07,0.124865,0.128331,0.115900,0.116993,0.116993,42431
2020-10-08,0.116993,0.119240,0.114450,0.119240,0.119240,65213
2020-10-09,0.119241,0.130449,0.117289,0.120294,0.120294,55915
2020-10-10,0.120296,0.126940,0.120214,0.123378,0.123378,48039
2020-10-11,0.123055,0.124534,0.118450,0.121102,0.121102,40837
2020-10-12,0.120129,0.134998,0.114777,0.129947,0.129947,93896
2020-10-13,0.129947,0.130837,0.123535,0.124023,0.124023,48051
2020-10-14,0.124023,0.127821,0.102354,0.108435,0.108435,92229
2020-10-15,0.108435,0.111981,0.105214,0.109576,0.109576,88141
2020-10-16,0.108232,0.111565,0.091933,0.095044,0.095044,69598
2020-10-17,0.095044,0.109606,0.088126,0.107073,0.107073,37026
2020-10-18,0.107073,0.107288,0.094028,0.095222,0.095222,33652
2020-10-19,0.096154,0.102817,0.093662,0.100276,0.100276,117800
2020-10-20,0.101141,0.107446,0.098225,0.100151,0.100151,58271
2020-10-21,0.100151,0.117793,0.099307,0.114585,0.114585,114029
2020-10-22,0.114266,0.120388,0.107667,0.115198,0.115198,59938
2020-10-23,0.115198,0.115338,0.106477,0.108259,0.108259,52863
2020-10-24,0.108289,0.111817,0.106148,0.108077,0.108077,44457
2020-10-25,0.108076,0.111709,0.104317,0.105690,0.105690,63700
2020-10-26,0.105689,0.108521,0.100314,0.104818,0.104818,112908
2020-10-27,0.104838,0.110589,0.101163,0.107484,0.107484,107531
2020-10-28,0.107610,0.109714,0.100445,0.102729,0.102729,65150
2020-10-29,0.102711,0.106527,0.099002,0.105178,0.105178,53125
2020-10-30,0.105088,0.115462,0.085784,0.096754,0.096754,26964
2020-10-31,0.096601,0.102579,0.096028,0.097656,0.097656,49692
2020-11-01,0.097671,0.098343,0.091967,0.094110,0.094110,41290
2020-11-02,0.094278,0.097063,0.089454,0.092027,0.092027,65697
2020-11-03,0.091966,0.101068,0.090160,0.100985,0.100985,67727
2020-11-04,0.101242,0.126289,0.096974,0.118060,0.118060,83118
2020-11-05,0.118062,0.123722,0.113076,0.117199,0.117199,110081
2020-11-06,0.117198,0.123275,0.110911,0.114141,0.114141,82384
2020-11-07,0.114141,0.115919,0.104036,0.106572,0.106572,59533
2020-11-08,0.106573,0.119642,0.100198,0.115059,0.115059,69897
2020-11-09,0.115064,0.123021,0.109404,0.119643,0.119643,85543
2020-11-10,0.119614,0.123755,0.113310,0.118467,0.118467,64549
2020-11-11,0.118483,0.121862,0.108881,0.109233,0.109233,82932
2020-11-12,0.109219,0.119327,0.106386,0.119238,0.119238,91047
2020-11-13,0.119239,0.120041,0.106958,0.113289,0.113289,46797
2020-11-14,0.113333,0.114683,0.098091,0.100523,0.100523,47766
2020-11-15,0.100473,0.104260,0.094720,0.101419,0.101419,47816
2020-11-16,0.101378,0.108634,0.101030,0.104538,0.104538,101435
2020-11-17,0.101965,0.104589,0.090051,0.099101,0.099101,126993
2020-11-18,0.099105,0.102417,0.090179,0.093694,0.093694,89354
2020-11-19,0.093702,0.110908,0.088853,0.100268,0.100268,46840
2020-11-20,0.100380,0.113103,0.096461,0.103303,0.103303,63672
2020-11-21,0.103299,0.110512,0.092694,0.104274,0.104274,68854
2020-11-22,0.104276,0.109963,0.097563,0.104665,0.104665,73592
2020-11-23,0.104537,0.110596,0.102696,0.103505,0.103505,69025
2020-11-24,0.103484,0.105833,0.100031,0.104970,0.104970,61465
2020-11-25,0.105080,0.107815,0.094914,0.097782,0.097782,64114
2020-11-26,0.097654,0.098346,0.083248,0.087500,0.087500,100896
2020-11-27,0.087614,0.095021,0.084701,0.089985,0.089985,33376
2020-11-28,0.089984,0.098005,0.088258,0.094185,0.094185,41434
2020-11-29,0.094182,0.105371,0.091178,0.103967,0.103967,48175
2020-11-30,0.103962,0.113533,0.103134,0.108686,0.108686,90169
2020-12-01,0.108678,0.111779,0.097421,0.098272,0.098272,92871
2020-12-02,0.098265,0.104511,0.096569,0.100371,0.100371,39556
2020-12-03,0.100350,0.101223,0.093376,0.094032,0.094032,58899
2020-12-04,0.094021,0.098700,0.090621,0.090621,0.090621,75241
2020-12-05,0.090611,0.099226,0.087794,0.095163,0.095163,54187
2020-12-06,0.095165,0.100857,0.094150,0.096609,0.096609,63148
2020-12-07,0.096641,0.100266,0.095918,0.098266,0.098266,63410
2020-12-08,0.098257,0.100722,0.091810,0.093263,0.093263,71934
2020-12-09,0.093269,0.096290,0.091648,0.095987,0.095987,62372
2020-12-10,0.095930,0.095931,0.093294,0.094651,0.094651,30874
2020-12-11,0.094606,0.094847,0.088275,0.089265,0.089265,75648
2020-12-12,0.089195,0.098313,0.089195,0.097419,0.097419,63809
2020-12-13,0.097459,0.100293,0.093878,0.096305,0.096305,50450
2020-12-14,0.096275,0.096924,0.093895,0.095039,0.095039,40013
2020-12-15,0.094999,0.096085,0.079602,0.082003,0.082003,65489
2020-12-16,0.081998,0.098752,0.078460,0.094363,0.094363,134364
2020-12-17,0.094374,0.097854,0.074489,0.077785,0.077785,132302
2020-12-18,0.077748,0.087326,0.073590,0.077811,0.077811,42564
2020-12-19,0.077859,0.082171,0.073683,0.078399,0.078399,33792
2020-12-20,0.078421,0.080651,0.073157,0.074182,0.074182,24007
2020-12-21,0.074021,0.076009,0.070417,0.073038,0.073038,24707
2020-12-22,0.072831,0.084395,0.070680,0.077465,0.077465,154605
2020-12-23,0.077486,0.085994,0.072068,0.077232,0.077232,153383
2020-12-24,0.077163,0.086150,0.072259,0.080374,0.080374,58055
2020-12-25,0.080281,0.085418,0.078297,0.083477,0.083477,43919
2020-12-26,0.083452,0.092053,0.079897,0.082976,0.082976,69481
2020-12-27,0.083003,0.085123,0.076580,0.077880,0.077880,93763
2020-12-28,0.077784,0.082282,0.074839,0.078900,0.078900,38081
2020-12-29,0.078901,0.084668,0.075229,0.078351,0.078351,55017
2020-12-30,0.078348,0.085240,0.078163,0.080450,0.080450,58860
2020-12-31,0.080471,0.082919,0.077722,0.080388,0.080388,47085
2021-01-01,0.080362,0.090570,0.079411,0.086480,0.086480,44741
2021-01-02,0.086479,0.093316,0.083372,0.088491,0.088491,87556
2021-01-03,0.088638,0.094560,0.087088,0.091237,0.091237,58723
2021-01-04,0.090994,0.093480,0.079506,0.090279,0.090279,16343
2021-01-05,0.090265,0.094843,0.082736,0.093161,0.093161,17974
2021-01-06,0.093161,0.108885,0.092884,0.105718,0.105718,28257
2021-01-07,0.105669,0.121099,0.094077,0.108576,0.108576,70013
2021-01-08,0.108482,0.114717,0.099309,0.110633,0.110633,66834
2021-01-09,0.110570,0.112891,0.105409,0.110386,0.110386,36585
2021-01-10,0.110383,0.114157,0.097824,0.103909,0.103909,22713
2021-01-11,0.103861,0.103861,0.082237,0.098071,0.098071,24835
2021-01-12,0.097910,0.102823,0.091249,0.092976,0.092976,41129
2021-01-13,0.093091,0.100869,0.088744,0.099837,0.099837,29666
2021-01-14,0.099891,0.107579,0.099762,0.104939,0.104939,28243
2021-01-15,0.104936,0.107264,0.092904,0.098282,0.098282,20987
2021-01-16,0.098526,0.102528,0.095020,0.096572,0.096572,38256
2021-01-17,0.096544,0.097858,0.088602,0.095022,0.095022,19334
2021-01-18,0.094895,0.099057,0.092888,0.096062,0.096062,11940
2021-01-19,0.096029,0.100182,0.095083,0.095083,0.095083,22163
2021-01-20,0.094805,0.096412,0.088342,0.093763,0.093763,18171
2021-01-21,0.093582,0.093582,0.080020,0.081548,0.081548,44802
2021-01-22,0.081392,0.090082,0.076230,0.086517,0.086517,33231
2021-01-23,0.086687,0.088812,0.079476,0.079620,0.079620,29045
2021-01-24,0.079632,0.084120,0.063781,0.082755,0.082755,13304
2021-01-25,0.082745,0.088022,0.074301,0.074887,0.074887,31813
2021-01-26,0.074883,0.084511,0.072323,0.078232,0.078232,21511
2021-01-27,0.078164,0.083188,0.067920,0.071760,0.071760,54484
2021-01-28,0.071747,0.079141,0.070632,0.078206,0.078206,38622
