date,dogecoin_unscaled,dogecoin_monthly,isPartial,scale,dogecoin
2017-11-01,23,,,,
2017-11-02,47,,,,
2017-11-03,52,,,,
2017-11-04,52,,,,
2017-11-05,36,1.0,False,0.01,0.36
2017-11-06,31,1.0,,0.01,0.31
2017-11-07,46,1.0,,0.01,0.46
2017-11-08,33,1.0,,0.01,0.33
2017-11-09,57,1.0,,0.01,0.5700000000000001
2017-11-10,24,1.0,,0.01,0.24
2017-11-11,23,1.0,,0.01,0.23
2017-11-12,23,1.0,False,0.01,0.23
2017-11-13,41,1.0,,0.01,0.41000000000000003
2017-11-14,45,1.0,,0.01,0.45
2017-11-15,46,1.0,,0.01,0.46
2017-11-16,31,1.0,,0.01,0.31
2017-11-17,42,1.0,,0.01,0.42
2017-11-18,29,1.0,,0.01,0.29
2017-11-19,33,1.0,False,0.01,0.33
2017-11-20,49,1.0,,0.01,0.49
2017-11-21,29,1.0,,0.01,0.29
2017-11-22,50,1.0,,0.01,0.5
2017-11-23,84,1.0,,0.01,0.84
2017-11-24,56,1.0,,0.01,0.56
2017-11-25,50,1.0,,0.01,0.5
2017-11-26,43,1.0,False,0.01,0.43
2017-11-27,63,1.0,,0.01,0.63
2017-11-28,55,1.0,,0.01,0.55
2017-11-29,100,1.0,,0.01,1.0
2017-11-30,65,1.0,,0.01,0.65
2017-12-01,21,1.0,,0.01,0.21
2017-12-02,26,1.0,,0.01,0.26
2017-12-03,19,2.0,False,0.02,0.38
2017-12-04,26,2.0,,0.02,0.52
2017-12-05,18,2.0,,0.02,0.36
2017-12-06,26,2.0,,0.02,0.52
2017-12-07,41,2.0,,0.02,0.8200000000000001
2017-12-08,46,2.0,,0.02,0.92
2017-12-09,32,2.0,,0.02,0.64
2017-12-10,37,3.0,False,0.03,1.1099999999999999
2017-12-11,22,3.0,,0.03,0.6599999999999999
2017-12-12,51,3.0,,0.03,1.53
2017-12-13,48,3.0,,0.03,1.44
2017-12-14,48,3.0,,0.03,1.44
2017-12-15,48,3.0,,0.03,1.44
2017-12-16,88,3.0,,0.03,2.6399999999999997
2017-12-17,99,4.0,False,0.04,3.96
2017-12-18,73,4.0,,0.04,2.92
2017-12-19,56,4.0,,0.04,2.24
2017-12-20,49,4.0,,0.04,1.96
2017-12-21,77,4.0,,0.04,3.08
2017-12-22,68,4.0,,0.04,2.72
2017-12-23,59,4.0,,0.04,2.36
2017-12-24,56,3.0,False,0.03,1.68
2017-12-25,100,3.0,,0.03,3.0
2017-12-26,68,3.0,,0.03,2.04
2017-12-27,74,3.0,,0.03,2.2199999999999998
2017-12-28,54,3.0,,0.03,1.6199999999999999
2017-12-29,60,3.0,,0.03,1.7999999999999998
2017-12-30,61,3.0,,0.03,1.8299999999999998
2017-12-31,44,4.0,False,0.04,1.76
2018-01-01,42,4.0,,0.04,1.68
2018-01-02,36,4.0,,0.04,1.44
2018-01-03,41,4.0,,0.04,1.6400000000000001
2018-01-04,43,4.0,,0.04,1.72
2018-01-05,67,4.0,,0.04,2.68
2018-01-06,96,4.0,,0.04,3.84
2018-01-07,94,6.0,False,0.06,5.64
2018-01-08,100,6.0,,0.06,6.0
2018-01-09,84,6.0,,0.06,5.04
2018-01-10,65,6.0,,0.06,3.9
2018-01-11,44,6.0,,0.06,2.6399999999999997
2018-01-12,54,6.0,,0.06,3.2399999999999998
2018-01-13,48,6.0,,0.06,2.88
2018-01-14,40,3.0,False,0.03,1.2
2018-01-15,41,3.0,,0.03,1.23
