date,idena_unscaled,idena_monthly,isPartial,scale,idena
2020-08-01,39,,,,
2020-08-02,39,32.0,False,0.32,12.48
2020-08-03,34,32.0,,0.32,10.88
2020-08-04,0,32.0,,0.32,0.0
2020-08-05,0,32.0,,0.32,0.0
2020-08-06,68,32.0,,0.32,21.76
2020-08-07,35,32.0,,0.32,11.200000000000001
2020-08-08,0,32.0,,0.32,0.0
2020-08-09,39,37.0,False,0.37,14.43
2020-08-10,100,37.0,,0.37,37.0
2020-08-11,0,37.0,,0.37,0.0
2020-08-12,0,37.0,,0.37,0.0
2020-08-13,0,37.0,,0.37,0.0
2020-08-14,34,37.0,,0.37,12.58
2020-08-15,0,37.0,,0.37,0.0
2020-08-16,0,64.0,False,0.64,0.0
2020-08-17,68,64.0,,0.64,43.52
2020-08-18,67,64.0,,0.64,42.88
2020-08-19,0,64.0,,0.64,0.0
2020-08-20,69,64.0,,0.64,44.160000000000004
2020-08-21,0,64.0,,0.64,0.0
2020-08-22,0,64.0,,0.64,0.0
2020-08-23,0,21.0,False,0.21,0.0
2020-08-24,0,21.0,,0.21,0.0
2020-08-25,66,21.0,,0.21,13.86
2020-08-26,0,21.0,,0.21,0.0
2020-08-27,67,21.0,,0.21,14.07
2020-08-28,0,21.0,,0.21,0.0
2020-08-29,38,21.0,,0.21,7.9799999999999995
2020-08-30,38,36.0,False,0.36,13.68
2020-08-31,0,36.0,,0.36,0.0
2020-09-01,43,36.0,,0.36,15.479999999999999
2020-09-02,0,36.0,,0.36,0.0
2020-09-03,87,36.0,,0.36,31.32
2020-09-04,89,36.0,,0.36,32.04
2020-09-05,100,36.0,,0.36,36.0
2020-09-06,50,42.0,False,0.42,21.0
2020-09-07,0,42.0,,0.42,0.0
2020-09-08,43,42.0,,0.42,18.06
2020-09-09,43,42.0,,0.42,18.06
2020-09-10,0,42.0,,0.42,0.0
2020-09-11,44,42.0,,0.42,18.48
2020-09-12,50,42.0,,0.42,21.0
2020-09-13,0,41.0,False,0.41,0.0
2020-09-14,43,41.0,,0.41,17.63
2020-09-15,0,41.0,,0.41,0.0
2020-09-16,0,41.0,,0.41,0.0
2020-09-17,86,41.0,,0.41,35.26
2020-09-18,45,41.0,,0.41,18.45
2020-09-19,50,41.0,,0.41,20.5
2020-09-20,49,56.0,False,0.56,27.44
2020-09-21,42,56.0,,0.56,23.520000000000003
2020-09-22,42,56.0,,0.56,23.520000000000003
2020-09-23,86,56.0,,0.56,48.160000000000004
2020-09-24,42,56.0,,0.56,23.520000000000003
2020-09-25,46,56.0,,0.56,25.76
2020-09-26,0,56.0,,0.56,0.0
2020-09-27,0,27.0,False,0.27,0.0
2020-09-28,44,27.0,,0.27,11.88
2020-09-29,0,27.0,,0.27,0.0
2020-09-30,88,27.0,,0.27,23.76
2020-10-01,28,27.0,,0.27,7.5600000000000005
2020-10-02,0,27.0,,0.27,0.0
2020-10-03,0,27.0,,0.27,0.0
2020-10-04,32,21.0,False,0.21,6.72
2020-10-05,0,21.0,,0.21,0.0
2020-10-06,0,21.0,,0.21,0.0
2020-10-07,28,21.0,,0.21,5.88
2020-10-08,57,21.0,,0.21,11.969999999999999
2020-10-09,0,21.0,,0.21,0.0
2020-10-10,0,21.0,,0.21,0.0
2020-10-11,68,11.0,False,0.11,7.48
2020-10-12,30,11.0,,0.11,3.3
2020-10-13,0,11.0,,0.11,0.0
2020-10-14,0,11.0,,0.11,0.0
2020-10-15,0,11.0,,0.11,0.0
2020-10-16,62,11.0,,0.11,6.82
2020-10-17,0,11.0,,0.11,0.0
2020-10-18,0,28.0,False,0.28,0.0
2020-10-19,0,28.0,,0.28,0.0
2020-10-20,59,28.0,,0.28,16.520000000000003
2020-10-21,30,28.0,,0.28,8.4
2020-10-22,61,28.0,,0.28,17.080000000000002
2020-10-23,62,28.0,,0.28,17.360000000000003
2020-10-24,33,28.0,,0.28,9.24
2020-10-25,100,0.0,False,0.0,0.0
2020-10-26,0,0.0,,0.0,0.0
2020-10-27,60,0.0,,0.0,0.0
2020-10-28,29,0.0,,0.0,0.0
2020-10-29,0,0.0,,0.0,0.0
2020-10-30,62,0.0,,0.0,0.0
2020-10-31,0,0.0,,0.0,0.0
2020-11-01,27,52.0,False,0.52,14.040000000000001
2020-11-02,0,52.0,,0.52,0.0
2020-11-03,23,52.0,,0.52,11.96
2020-11-04,0,52.0,,0.52,0.0
2020-11-05,0,52.0,,0.52,0.0
2020-11-06,43,52.0,,0.52,22.36
2020-11-07,24,52.0,,0.52,12.48
2020-11-08,25,33.0,False,0.33,8.25
2020-11-09,69,33.0,,0.33,22.77
2020-11-10,0,33.0,,0.33,0.0
2020-11-11,23,33.0,,0.33,7.590000000000001
2020-11-12,46,33.0,,0.33,15.180000000000001
2020-11-13,48,33.0,,0.33,15.84
2020-11-14,27,33.0,,0.33,8.91
2020-11-15,0,28.0,False,0.28,0.0
2020-11-16,46,28.0,,0.28,12.88
2020-11-17,0,28.0,,0.28,0.0
2020-11-18,0,28.0,,0.28,0.0
2020-11-19,46,28.0,,0.28,12.88
2020-11-20,0,28.0,,0.28,0.0
2020-11-21,0,28.0,,0.28,0.0
2020-11-22,77,61.0,False,0.61,46.97
2020-11-23,0,61.0,,0.61,0.0
2020-11-24,0,61.0,,0.61,0.0
2020-11-25,46,61.0,,0.61,28.06
2020-11-26,70,61.0,,0.61,42.699999999999996
2020-11-27,0,61.0,,0.61,0.0
2020-11-28,0,61.0,,0.61,0.0
2020-11-29,100,43.0,False,0.43,43.0
2020-11-30,46,43.0,,0.43,19.78
2020-12-01,22,43.0,,0.43,9.459999999999999
2020-12-02,22,43.0,,0.43,9.459999999999999
2020-12-03,0,43.0,,0.43,0.0
2020-12-04,23,43.0,,0.43,9.89
